,1,2,3,4,5,6,7,8,9,10,11,12
A,0.038,0.037,0.051,0.042,0.039,0.038,0.038,0.038,0.037,0.038,0.037,0.037
B,0.035,0.359,0.038,0.038,0.04,0.038,0.037,0.037,0.038,0.038,0.038,0.043
C,0.038,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.038
D,0.045,0.038,0.037,0.037,0.037,0.038,0.038,0.038,0.037,0.038,0.039,0.038
E,0.037,0.037,0.037,0.037,0.038,0.037,0.037,0.037,0.038,0.037,0.037,0.039
F,0.037,0.037,0.037,0.078,0.037,0.037,0.037,0.036,0.038,0.038,0.038,0.04
G,0.038,0.037,0.038,0.037,0.037,0.037,0.038,0.037,0.038,0.038,0.038,0.046
H,0.038,0.037,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.041,0.038,0.044



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),600
Serial No.,OPTMAA00048
Measurement started at,01 16 22:40:12 2026
Measurement finished at,01 16 22:40:13 2026
